epoch,accuracy,hausdorff_distance,iou,tversky_loss,val_dice_similarity_coefficient,val_loss
0,6.539481e-06,nan,0.49975845,0.99322355,nan,nan
1,5.4427557e-05,nan,0.50576764,0.9896681,nan,nan
2,2.8065273e-05,nan,0.50416416,0.9854374,nan,nan
3,3.0721938e-05,nan,0.504917,0.9812791,nan,nan
4,4.9727303e-05,nan,0.5080829,0.97736794,nan,nan
5,4.1144234e-05,nan,0.5068634,0.9753476,nan,nan
6,5.374636e-05,nan,0.5090978,0.97498214,nan,nan
7,5.2383966e-05,nan,0.5089033,0.97470284,nan,nan
8,5.395072e-05,nan,0.50914717,0.97429764,nan,nan
9,5.4427557e-05,nan,0.50925756,0.9740496,nan,nan
10,5.6607383e-05,nan,0.5097137,0.9739292,nan,nan
11,6.001336e-05,nan,0.510265,0.97394097,nan,nan
12,5.333764e-05,nan,0.5090551,0.9738509,nan,nan
13,5.565371e-05,nan,0.5094044,0.97379214,nan,nan
